#nrNodes nrCollisions nrTransmissions OverallEnergy
10 0 8 1.808007168
10 0 9 2.034008064
5 0 5 1.13000448
5 0 5 1.13000448
10 0 10 2.26000896
10 0 10 2.26000896
10 0 10 2.26000896
10 0 10 2.26000896
10 0 4 0.904003584
10 2 10 2.26000896
10 4 15 3.39001344
10 2 15 3.39001344
3 0 1 0.226000896
3 0 5 1.13000448
3 0 1 0.226000896
3 0 4 0.904003584
3 0 4 0.904003584
10 0 12 2.712010752
5 0 3 0.678002688
5 0 3 0.678002688
20 8 20 4.52001792
20 0 18 4.068016128
10 2 9 2.034008064
8 0 6 1.356005376
4 7035 23962 5415.43346995
